Invasive abundance,Native abundance,Invasive catch,Native catch
183.43,346.2,3,7
147.203834,323.35513399999996,3,11
123.55312899361624,314.0615973336162,3,11
106.76586394507473,312.92071040901084,4,9
93.18846241741588,316.11645216719637,1,3
82.11701791267369,323.2696912616064,0,5
73.66141557064532,335.02052643359804,3,9
66.10289780254897,349.5145339075034,2,6
59.46726415720015,367.0610928506755,2,5
52.99119896096647,386.93908316536135,0,6
47.25604092566384,410.12862554010786,0,5
43.08841537228431,437.99081885742936,3,10
